book,chapter,paragraph,title,startVerseNo,endVerseNo
pro,30,1,"亚古珥的箴言",1,1
pro,30,2,"亚古珥的箴言",1,4
pro,30,3,"亚古珥的箴言",5,6
pro,30,4,"亚古珥的箴言",7,9
pro,30,5,"亚古珥的箴言",10,10
pro,30,6,"亚古珥的箴言",11,14
pro,30,7,"亚古珥的箴言",15,17
pro,30,8,"亚古珥的箴言",18,19
pro,30,9,"亚古珥的箴言",20,20
pro,30,10,"亚古珥的箴言",21,23
pro,30,11,"亚古珥的箴言",24,28
pro,30,12,"亚古珥的箴言",29,33
pro,31,1,"利慕伊勒王的箴言",1,1
pro,31,2,"利慕伊勒王的箴言",1,1
pro,31,3,"利慕伊勒王的箴言",2,9
pro,31,4,"贤德的妻子",10,31
pro,1,1,"箴言的价值",1,1
pro,1,2,"箴言的价值",2,6
pro,1,3,"箴言的价值",7,7
pro,1,4,"箴言的价值",7,19
pro,1,5,"智慧的劝诫",20,33
pro,2,1,"智慧的益处",1,15
pro,2,2,"智慧的益处",16,22
pro,3,1,"信靠耶和华",1,4
pro,3,2,"信靠耶和华",5,20
pro,3,3,"信靠耶和华",21,26
pro,3,4,"信靠耶和华",27,35
pro,4,1,"父亲的教诲",1,9
pro,4,2,"父亲的教诲",10,19
pro,4,3,"父亲的教诲",20,27
pro,5,1,"远避淫乱",1,14
pro,5,2,"远避淫乱",15,23
pro,6,1,"日常警言",1,5
pro,6,2,"日常警言",6,11
pro,6,3,"日常警言",12,19
pro,6,4,"日常警言",20,35
pro,7,1,"要远离淫妇",1,5
pro,7,2,"要远离淫妇",6,23
pro,7,3,"要远离淫妇",24,27
pro,8,1,"智慧的呼唤",1,11
pro,8,2,"智慧的呼唤",12,21
pro,8,3,"智慧的呼唤",22,31
pro,8,4,"智慧的呼唤",32,36
pro,9,1,"智慧和愚昧",1,6
pro,9,2,"智慧和愚昧",7,12
pro,9,3,"智慧和愚昧",13,18
pro,10,1,"所罗门的箴言",1,1
pro,10,2,"所罗门的箴言",1,32
pro,11,1,"(无小标题)",1,31
pro,12,1,"(无小标题)",1,28
pro,13,1,"(无小标题)",1,25
pro,14,1,"(无小标题)",1,35
pro,15,1,"(无小标题)",1,33
pro,16,1,"(无小标题)",1,33
pro,17,1,"(无小标题)",1,28
pro,18,1,"(无小标题)",1,24
pro,19,1,"(无小标题)",1,29
pro,20,1,"(无小标题)",1,30
pro,21,1,"(无小标题)",1,31
pro,22,1,"(无小标题)",1,16
pro,22,2,"智者之言",17,21
pro,22,3,"智者之言",22,23
pro,22,4,"智者之言",24,25
pro,22,5,"智者之言",26,27
pro,22,6,"智者之言",28,29
pro,23,1,"(无小标题)",1,3
pro,23,2,"(无小标题)",4,8
pro,23,3,"(无小标题)",9,35
pro,24,1,"(无小标题)",1,22
pro,24,2,"其他智言",23,34
pro,25,1,"所罗门的箴言（续）",1,1
pro,25,2,"所罗门的箴言（续）",2,28
pro,26,1,"(无小标题)",1,28
pro,27,1,"(无小标题)",1,27
pro,28,1,"(无小标题)",1,28
pro,29,1,"(无小标题)",1,27
pro,30,1,"亚古珥的箴言",1,1
pro,30,2,"亚古珥的箴言",1,4
pro,30,3,"亚古珥的箴言",5,6
pro,30,4,"亚古珥的箴言",7,9
pro,30,5,"亚古珥的箴言",10,10
pro,30,6,"亚古珥的箴言",11,14
pro,30,7,"亚古珥的箴言",15,17
pro,30,8,"亚古珥的箴言",18,19
pro,30,9,"亚古珥的箴言",20,20
pro,30,10,"亚古珥的箴言",21,23
pro,30,11,"亚古珥的箴言",24,28
pro,30,12,"亚古珥的箴言",29,33
pro,31,1,"利慕伊勒王的箴言",1,1
pro,31,2,"利慕伊勒王的箴言",1,1
pro,31,3,"利慕伊勒王的箴言",2,9
pro,31,4,"贤德的妻子",10,31
