book,chapter,paragraph,title,startVerseNo,endVerseNo
job,38,7,"耶和华回答约伯",31,37
job,38,8,"耶和华回答约伯",39,41
job,39,1,"(无小标题)",1,4
job,39,2,"(无小标题)",5,8
job,39,3,"(无小标题)",9,12
job,39,4,"(无小标题)",13,18
job,39,5,"(无小标题)",19,25
job,39,6,"(无小标题)",26,30
job,40,1,"(无小标题)",1,2
job,40,2,"(无小标题)",3,5
job,40,3,"(无小标题)",6,14
job,40,4,"(无小标题)",15,24
job,41,1,"(无小标题)",1,11
job,41,2,"(无小标题)",12,34
job,42,1,"(无小标题)",1,6
job,42,2,"结语",7,9
job,42,3,"结语",10,11
job,42,4,"结语",12,17
job,1,1,"约伯的敬虔",1,5
job,1,2,"撒旦控告约伯",6,12
job,1,3,"约伯失去所有",13,19
job,1,4,"约伯失去所有",20,22
job,2,1,"约伯失去健康",1,10
job,2,2,"约伯的三个朋友",11,13
job,3,1,"约伯咒诅自己",1,2
job,3,2,"约伯咒诅自己",3,10
job,3,3,"约伯咒诅自己",11,19
job,3,4,"约伯咒诅自己",20,26
job,4,1,"以利法的责难",1,11
job,4,2,"以利法的责难",12,21
job,5,1,"(无小标题)",1,7
job,5,2,"(无小标题)",8,16
job,5,3,"(无小标题)",17,27
job,6,1,"约伯自述无辜",1,1
job,6,2,"约伯自述无辜",2,13
job,6,3,"约伯自述无辜",14,23
job,6,4,"约伯自述无辜",24,30
job,7,1,"(无小标题)",1,6
job,7,2,"(无小标题)",7,10
job,7,3,"(无小标题)",11,16
job,7,4,"(无小标题)",17,21
job,8,1,"比勒达发言",1,1
job,8,2,"比勒达发言",2,7
job,8,3,"比勒达发言",8,10
job,8,4,"比勒达发言",11,19
job,8,5,"比勒达发言",20,22
job,9,1,"约伯的回应",1,1
job,9,2,"约伯的回应",2,13
job,9,3,"约伯的回应",14,24
job,9,4,"约伯的回应",25,35
job,10,1,"(无小标题)",1,7
job,10,2,"(无小标题)",8,12
job,10,3,"(无小标题)",13,22
job,11,1,"琐法的回答",1,6
job,11,2,"琐法的回答",7,12
job,11,3,"琐法的回答",13,20
job,12,1,"约伯的回答",1,1
job,12,2,"约伯的回答",2,6
job,12,3,"约伯的回答",7,12
job,12,4,"约伯的回答",13,25
job,13,1,"(无小标题)",1,12
job,13,2,"(无小标题)",13,28
job,14,1,"(无小标题)",1,17
job,14,2,"(无小标题)",18,22
job,15,1,"以利法再次发言",1,1
job,15,2,"以利法再次发言",2,16
job,15,3,"以利法再次发言",17,35
job,16,1,"约伯的回答",1,1
job,16,2,"约伯的回答",2,5
job,16,3,"约伯的回答",6,17
job,16,4,"约伯的回答",18,22
job,17,1,"(无小标题)",1,16
job,18,1,"比勒达发言",1,1
job,18,2,"比勒达发言",2,4
job,18,3,"比勒达发言",5,21
job,19,1,"约伯的回答",1,1
job,19,2,"约伯的回答",2,12
job,19,3,"约伯的回答",13,20
job,19,4,"约伯的回答",21,29
job,20,1,"琐法再度发言",1,1
job,20,2,"琐法再度发言",2,11
job,20,3,"琐法再度发言",12,29
job,21,1,"约伯的回答",1,16
job,21,2,"约伯的回答",17,21
job,21,3,"约伯的回答",22,34
job,22,1,"以利法再次回答",1,11
job,22,2,"以利法再次回答",12,20
job,22,3,"以利法再次回答",21,30
job,23,1,"约伯的回答",1,7
job,23,2,"约伯的回答",8,17
job,24,1,"(无小标题)",1,12
job,24,2,"(无小标题)",13,17
job,24,3,"(无小标题)",18,25
job,25,1,"比勒达的回答",1,6
job,26,1,"约伯的回答",1,4
job,26,2,"约伯的回答",5,14
job,27,1,"(无小标题)",1,6
job,27,2,"(无小标题)",7,10
job,27,3,"(无小标题)",11,12
job,27,4,"(无小标题)",13,23
job,28,1,"智慧颂",1,11
job,28,2,"智慧颂",12,19
job,28,3,"智慧颂",20,28
job,29,1,"回忆昔日的幸福",1,6
job,29,2,"回忆昔日的幸福",7,17
job,29,3,"回忆昔日的幸福",18,20
job,29,4,"回忆昔日的幸福",21,25
job,30,1,"哀叹今日的痛苦",1,8
job,30,2,"哀叹今日的痛苦",9,15
job,30,3,"哀叹今日的痛苦",16,19
job,30,4,"哀叹今日的痛苦",20,23
job,30,5,"哀叹今日的痛苦",24,31
job,31,1,"约伯最后的申辩",1,23
job,31,2,"约伯最后的申辩",24,28
job,31,3,"约伯最后的申辩",29,34
job,31,4,"约伯最后的申辩",35,37
job,31,5,"约伯最后的申辩",38,40
job,31,6,"约伯最后的申辩",40,40
job,32,1,"以利户的回答",1,6
job,32,2,"以利户的回答",6,14
job,32,3,"以利户的回答",15,22
job,33,1,"(无小标题)",1,7
job,33,2,"(无小标题)",8,11
job,33,3,"(无小标题)",12,18
job,33,4,"(无小标题)",19,28
job,33,5,"(无小标题)",29,33
job,34,1,"(无小标题)",1,9
job,34,2,"(无小标题)",10,15
job,34,3,"(无小标题)",16,30
job,34,4,"(无小标题)",31,37
job,35,1,"(无小标题)",1,8
job,35,2,"(无小标题)",9,16
job,36,1,"(无小标题)",1,4
job,36,2,"(无小标题)",5,16
job,36,3,"(无小标题)",17,33
job,37,1,"(无小标题)",1,13
job,37,2,"(无小标题)",14,24
job,38,1,"耶和华回答约伯",1,3
job,38,2,"耶和华回答约伯",4,7
job,38,3,"耶和华回答约伯",8,11
job,38,4,"耶和华回答约伯",12,18
job,38,5,"耶和华回答约伯",19,21
job,38,6,"耶和华回答约伯",22,30
job,38,7,"耶和华回答约伯",31,37
job,38,8,"耶和华回答约伯",39,41
job,39,1,"(无小标题)",1,4
job,39,2,"(无小标题)",5,8
job,39,3,"(无小标题)",9,12
job,39,4,"(无小标题)",13,18
job,39,5,"(无小标题)",19,25
job,39,6,"(无小标题)",26,30
job,40,1,"(无小标题)",1,2
job,40,2,"(无小标题)",3,5
job,40,3,"(无小标题)",6,14
job,40,4,"(无小标题)",15,24
job,41,1,"(无小标题)",1,11
job,41,2,"(无小标题)",12,34
job,42,1,"(无小标题)",1,6
job,42,2,"结语",7,9
job,42,3,"结语",10,11
job,42,4,"结语",12,17
